theta,rho,row_sum_error,P_inf_norm,inner_count,outer_count,annulus_count,family_lower,family_upper
0.58,0.9958512556188391,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.585,0.9958641957665966,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.59,0.9958775135942417,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.595,0.9958912253961427,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.6,0.9959053484263988,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.605,0.995919900967818,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.61,0.9959349024060586,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.615,0.9959503733093622,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.62,0.9959663355139952,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.625,0.9959828122157109,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.63,0.9959998280673006,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.635,0.9960174092822923,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.64,0.9960355837446064,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.645,0.9960543811238618,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.65,0.9960738329956729,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.655,0.9960939729659158,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.66,0.9961148367974302,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.665,0.9961364625370482,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.67,0.9961588906399625,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.675,0.9961821640874533,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.68,0.9962063284928347,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.685,0.9962314321888575,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.6900000000000001,0.9962575262881386,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.6950000000000001,0.9962846647060908,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.7000000000000001,0.9963129041336317,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.705,0.9963423039444795,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.71,0.996372926019518,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.715,0.9964048344686822,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.72,0.9964380952294919,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.725,0.9964727755211421,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.73,0.9965089431350755,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.735,0.9965466655473748,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.74,0.9965860088463612,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.745,0.9966270364808327,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.75,0.9966698078508323,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.755,0.9967143767826845,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.76,0.9967607899525109,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.765,0.996809085343754,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.77,0.9968592908420969,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.775,0.9969114230797375,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.78,0.9969654866378748,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.785,0.9970214736980121,0.0,0.6500000000000001,16,16,0,0.948499056600415,1.009793704748116
0.79,0.9970793642005431,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.795,0.997139126525434,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.8,0.997200718661998,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.805,0.9972640897891908,0.0,0.6500000000000001,16,16,0,0.948499056600415,1.009793704748116
0.81,0.9973291821530584,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.8150000000000001,0.9973959331081899,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.8200000000000001,0.997464277187437,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.8250000000000001,0.997534148077588,0.0,0.6500000000000001,16,16,0,0.948499056600415,1.009793704748116
0.8300000000000001,0.9976054804031225,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.835,0.9976782112508388,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.84,0.9977522813994388,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.845,0.997827636246172,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.85,0.9979042264444792,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.855,0.9979820082818421,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.86,0.9980609438357111,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.865,0.9981410009487198,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.87,0.9982221530635209,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.875,0.9983043789543525,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.88,0.9983876623876855,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.885,0.9984719917388186,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
