c,rho_min,rho_max,upper,lower,symmetric_upper,separated,regime
0.6799999999999999,0.7002277169935404,0.7013960485361626,0.7419235482647522,0.5962347538297978,0.763765246170202,1,universal_recovery
0.6849999999999999,0.7052389510969225,0.7063931870467485,0.7465793826993303,0.6032337420240198,0.7667662579759801,1,universal_recovery
0.69,0.7102500601654255,0.7113903993642612,0.751245154965971,0.6099999999999999,0.77,1,universal_recovery
0.695,0.715261044320016,0.7163876845476631,0.7559204699540422,0.6165800280898814,0.7734199719101185,1,universal_recovery
0.7,0.7202719038198601,0.7213850416022954,0.7606049516167919,0.6230073525436771,0.7769926474563228,1,universal_recovery
0.705,0.7252826390495617,0.7263824694877511,0.7652982419454983,0.6293070330817253,0.7806929669182746,1,universal_recovery
0.71,0.7302932505073846,0.7313799671250054,0.77,0.6354983443527075,0.7845016556472925,1,universal_recovery
0.715,0.7353037387943688,0.7363775334028521,0.7747099009929452,0.6415964600977818,0.7884035399022181,1,universal_recovery
0.72,0.7403141046043321,0.7413751671837067,0.779427635425124,0.6476135582092915,0.7923864417907085,1,universal_recovery
0.725,0.7453243487146167,0.7463728673088527,0.7841529082692952,0.6535595723902925,0.7964404276097075,1,universal_recovery
0.73,0.7503344719775875,0.7513706326031481,0.7888854381999832,0.6594427190999916,0.8005572809000083,1,universal_recovery
0.735,0.7553444753127816,0.7563684618792829,0.7936249568667996,0.6652698765763974,0.8047301234236026,1,universal_recovery
0.74,0.760354359699695,0.7613663539415811,0.7983712082089225,0.6710468635614927,0.8089531364385073,1,universal_recovery
0.745,0.7653641261711266,0.7663643075894278,0.8031239478084657,0.6767786482583239,0.8132213517416761,1,universal_recovery
0.75,0.7703737758070576,0.7713623216203344,0.8078829422805593,0.682469507659596,0.817530492340404,1,universal_recovery
0.755,0.7753833097290241,0.7763603948326727,0.8126479686980642,0.6881231508713881,0.8218768491286119,1,universal_recovery
0.76,0.7803927290949407,0.781358526028124,0.8174188140489387,0.6937428158546577,0.8262571841453423,1,universal_recovery
0.7649999999999999,0.7854020350943297,0.7863567140138518,0.8221952747243753,0.6993313462317251,0.8306686537682747,1,universal_recovery
0.77,0.7904112289439711,0.7913549576044301,0.8269771560359221,0.7048912529307606,0.8351087470692394,1,universal_recovery
0.7749999999999999,0.7954203118838555,0.7963532556235529,0.8317642717598918,0.7104247641507074,0.8395752358492924,1,universal_recovery
