n,p,sample,rho,lower,upper,symmetric_upper,full_inf_norm,P_inf_norm,C_deviation_inf_norm,feedback_product,C_deviation_nonnormality,inner_count,outer_count,annulus_count
8,3,90,0.8608350312625355,0.7806438241627338,0.8944013949390892,0.8993561758372661,1.0204551534796347,0.45000000000000007,0.039999999999999994,0.0064,0.42493543513482634,3,8,0
8,3,91,0.8554516891736696,0.7806438241627338,0.8944013949390892,0.8993561758372661,0.9346159803058813,0.45,0.04000000000000002,0.0064,0.9955694503518462,3,8,0
8,3,92,0.8417907427531595,0.7806438241627338,0.8944013949390892,0.8993561758372661,0.8890035799541036,0.44999999999999996,0.040000000000000056,0.006400000000000001,1.0762999120155632,3,8,0
8,3,93,0.877033996386559,0.7806438241627338,0.8944013949390892,0.8993561758372661,1.114532263691466,0.45,0.03999999999999998,0.0064,0.7447808809251877,3,8,0
8,3,94,0.8452589914518125,0.7806438241627338,0.8944013949390892,0.8993561758372661,0.8751394976317066,0.45,0.039999999999999966,0.0064,1.2629925792446848,3,8,0
8,3,95,0.8639532269317957,0.7806438241627338,0.8944013949390892,0.8993561758372661,0.8991162759107871,0.45000000000000007,0.040000000000000036,0.0063999999999999994,0.5791071980909527,3,8,0
8,3,96,0.8564260870482584,0.7806438241627338,0.8944013949390892,0.8993561758372661,0.8911153508320981,0.45000000000000007,0.04000000000000005,0.0063999999999999994,0.7826069878468029,3,8,0
8,3,97,0.8473756113331594,0.7806438241627338,0.8944013949390892,0.8993561758372661,0.9141286151084713,0.45,0.039999999999999966,0.006400000000000002,1.2066897902278888,3,8,0
8,3,98,0.8567364093669788,0.7806438241627338,0.8944013949390892,0.8993561758372661,0.874437464656339,0.45,0.039999999999999966,0.0063999999999999994,1.352918824928799,3,8,0
8,3,99,0.8700136761957084,0.7806438241627338,0.8944013949390892,0.8993561758372661,1.007320196679548,0.45,0.04000000000000003,0.006400000000000001,0.7878135659976764,3,8,0
8,3,100,0.8663972669023442,0.7806438241627338,0.8944013949390892,0.8993561758372661,0.8880708430228943,0.4500000000000001,0.03999999999999998,0.006400000000000001,0.8333532018758693,3,8,0
8,3,101,0.8636463806716698,0.7806438241627338,0.8944013949390892,0.8993561758372661,0.9060121076835583,0.45000000000000007,0.04000000000000001,0.0063999999999999994,0.5836350274716572,3,8,0
8,3,102,0.8517229583946743,0.7806438241627338,0.8944013949390892,0.8993561758372661,1.0858702358692887,0.44999999999999996,0.04000000000000001,0.0064,0.8262430432276541,3,8,0
8,3,103,0.8472582805496128,0.7806438241627338,0.8944013949390892,0.8993561758372661,1.0395447183311906,0.45000000000000007,0.04000000000000004,0.0063999999999999994,1.222479910599654,3,8,0
8,3,104,0.8495657063916153,0.7806438241627338,0.8944013949390892,0.8993561758372661,0.9272125024191027,0.44999999999999996,0.039999999999999945,0.0063999999999999994,0.9869435444945494,3,8,0
8,3,105,0.8416285317392284,0.7806438241627338,0.8944013949390892,0.8993561758372661,0.9681200001030417,0.45000000000000007,0.03999999999999996,0.006400000000000001,0.6838659305586224,3,8,0
8,3,106,0.8644628666060467,0.7806438241627338,0.8944013949390892,0.8993561758372661,0.9147083960724448,0.45,0.03999999999999995,0.006399999999999998,0.5569610492871848,3,8,0
8,3,107,0.855933026264984,0.7806438241627338,0.8944013949390892,0.8993561758372661,0.8931239105635786,0.45,0.03999999999999995,0.0063999999999999994,0.5951182023082262,3,8,0
8,3,108,0.8636123306528364,0.7806438241627338,0.8944013949390892,0.8993561758372661,0.898980864534422,0.4500000000000001,0.03999999999999997,0.0063999999999999994,0.8114645404905979,3,8,0
8,3,109,0.8501359819156518,0.7806438241627338,0.8944013949390892,0.8993561758372661,0.9020596983590408,0.45,0.04000000000000004,0.0064,1.0439679539678182,3,8,0
8,3,110,0.8757912839441432,0.7806438241627338,0.8944013949390892,0.8993561758372661,0.9034532532315042,0.44999999999999996,0.040000000000000036,0.0064,0.5568364753866994,3,8,0
8,3,111,0.8483801951304161,0.7806438241627338,0.8944013949390892,0.8993561758372661,0.9088359442153783,0.44999999999999996,0.040000000000000036,0.0064,0.5023060199349485,3,8,0
8,3,112,0.854480354892377,0.7806438241627338,0.8944013949390892,0.8993561758372661,1.0665894865281986,0.45,0.04000000000000002,0.0063999999999999994,0.7090432458749782,3,8,0
8,3,113,0.8669702705813851,0.7806438241627338,0.8944013949390892,0.8993561758372661,0.9133346197412519,0.44999999999999996,0.040000000000000036,0.0064,0.3122530232775655,3,8,0
8,3,114,0.8594015401645367,0.7806438241627338,0.8944013949390892,0.8993561758372661,1.0534257008085837,0.44999999999999996,0.04000000000000003,0.006399999999999999,0.3287601111802235,3,8,0
8,3,115,0.8509246584250846,0.7806438241627338,0.8944013949390892,0.8993561758372661,0.8960941804457536,0.45,0.040000000000000056,0.0063999999999999994,0.8714798145451584,3,8,0
8,3,116,0.8550871505004883,0.7806438241627338,0.8944013949390892,0.8993561758372661,1.1444502296434553,0.45000000000000007,0.03999999999999998,0.0064,0.8125896225452169,3,8,0
8,3,117,0.8491460242292079,0.7806438241627338,0.8944013949390892,0.8993561758372661,1.0249356391419178,0.45000000000000007,0.03999999999999995,0.006400000000000002,1.0586985523107948,3,8,0
8,3,118,0.8445582339907728,0.7806438241627338,0.8944013949390892,0.8993561758372661,0.8717378070701354,0.45,0.039999999999999945,0.0063999999999999994,0.8935131284559648,3,8,0
8,3,119,0.8673978042627545,0.7806438241627338,0.8944013949390892,0.8993561758372661,0.9148685370237966,0.45,0.039999999999999994,0.006400000000000001,0.2938878145169101,3,8,0
8,3,120,0.8632491764264347,0.7806438241627338,0.8944013949390892,0.8993561758372661,1.1232615561708608,0.44999999999999996,0.03999999999999998,0.0064,0.33244694165163374,3,8,0
8,3,121,0.8488100482791443,0.7806438241627338,0.8944013949390892,0.8993561758372661,0.9871989777469786,0.45000000000000007,0.04000000000000001,0.0063999999999999994,0.9483438730592572,3,8,0
8,3,122,0.8597345349326229,0.7806438241627338,0.8944013949390892,0.8993561758372661,0.9245600391514412,0.44999999999999996,0.039999999999999994,0.0064,0.8381180911532714,3,8,0
8,3,123,0.8605023782262354,0.7806438241627338,0.8944013949390892,0.8993561758372661,0.9041318061565882,0.45000000000000007,0.04,0.006400000000000001,0.8933492001026029,3,8,0
8,3,124,0.8555727886488215,0.7806438241627338,0.8944013949390892,0.8993561758372661,0.9041376264168847,0.45,0.03999999999999997,0.0064,1.100293193115419,3,8,0
8,3,125,0.8371062200770102,0.7806438241627338,0.8944013949390892,0.8993561758372661,0.8823720874595193,0.44999999999999996,0.04000000000000005,0.0063999999999999994,0.9525797103184851,3,8,0
8,3,126,0.8610721777774742,0.7806438241627338,0.8944013949390892,0.8993561758372661,1.189215804622047,0.45000000000000007,0.04000000000000003,0.0064,0.7928551029926998,3,8,0
8,3,127,0.8499597555752615,0.7806438241627338,0.8944013949390892,0.8993561758372661,0.9222973530979393,0.44999999999999996,0.03999999999999997,0.0064,0.12284776528707678,3,8,0
8,3,128,0.8370310132514198,0.7806438241627338,0.8944013949390892,0.8993561758372661,0.8655618406618563,0.45000000000000007,0.04000000000000002,0.006400000000000001,0.6619365231997334,3,8,0
8,3,129,0.8515541319714058,0.7806438241627338,0.8944013949390892,0.8993561758372661,0.876708026595312,0.45000000000000007,0.039999999999999994,0.006400000000000002,1.0643912077411328,3,8,0
8,3,130,0.8558564353570163,0.7806438241627338,0.8944013949390892,0.8993561758372661,1.2099194279497676,0.44999999999999996,0.03999999999999999,0.006399999999999999,1.2772389743589916,3,8,0
8,3,131,0.8703998033565292,0.7806438241627338,0.8944013949390892,0.8993561758372661,0.9511462934664986,0.45000000000000007,0.03999999999999997,0.006400000000000002,0.4635822102070895,3,8,0
8,3,132,0.8575944932237847,0.7806438241627338,0.8944013949390892,0.8993561758372661,1.2439325408354465,0.44999999999999996,0.040000000000000036,0.0064,0.9236870938660302,3,8,0
8,3,133,0.8565750453943771,0.7806438241627338,0.8944013949390892,0.8993561758372661,0.8953924614747623,0.45,0.039999999999999966,0.006399999999999999,0.7187717622836134,3,8,0
